,,Angola,,,,Kenya,,,,Nigera,,,,Egypt,,,,Aggregate Sum
1980,,,,,,,,,,,,,,,,,,
,1960,,,,,791265458.8,,97.44552502,,4196092258,,96.97904472,,,,,,0
,1961,,,,,792959472.1,0.002140891,94.65125879,,4467200336,0.064609656,104.3870197,,,,,,0.066750547
,1962,,,,,868111400,0.094773983,100.3943906,,4909302954,0.098966374,107.5405681,,,,,,0.193740357
,1963,,,,,926589348.6,0.067362263,103.7787094,,5165489010,0.052183794,113.1687212,,,,,,0.119546057
,1964,,,,,998759333.6,0.077887777,108.2936884,,5552822484,0.074984861,117.1886325,,,,,,0.152872638
,1965,,,,,997919320,-0.000841057,104.711564,,5874422512,0.057916497,124.3077828,,4948667540,,162.608483,,0.05707544
,1966,,,,,1164519673,0.166947718,118.2080184,,6366792664,0.083815924,99.40607496,,5278005612,0.066550858,168.9632242,,0.3173145
,1967,,,,,1232559506,0.05842738,120.9876974,,5203135937,-0.182769691,97.20175178,,5605484299,0.062045915,174.8625879,,-0.062296396
,1968,,,,,1353295458,0.097955475,128.3974447,,5200895982,-0.000430501,121.2453641,,5932242991,0.058292678,180.4108756,,0.155817652
,1969,,,,,1458379415,0.077650417,133.6653704,,6634187316,0.275585464,224.1044767,,6524455206,0.099829393,193.5859804,,0.453065274
,1970,,,,,1603447357,0.099472017,141.8804934,,12545849083,0.891090572,160.2487501,,8042200452,0.232624058,233.0137163,,1.223186647
,1971,,,,,1778391289,0.10910488,151.8299327,,9181769912,-0.268142806,209.2260626,,8609283346,0.0705134,243.8067877,,-0.088524526
,1972,,,,,2107279157,0.184935604,173.4947604,,12274416018,0.336824614,252.232652,,9299638056,0.080187245,257.5887293,,0.601947463
,1973,,,,,2502142444,0.187380626,198.5701733,,15162871287,0.235323234,402.849847,,10098534613,0.085906199,273.6985848,,0.508610059
,1974,,,,,2973309272,0.188305358,227.3634428,,24846641318,0.638650151,438.33124,,9228963225,-0.08610867,244.747202,,0.740846839
,1975,,,,,3259344936,0.096201114,240.0830336,,27778934625,0.118015681,556.702179,,11632178869,0.260399309,301.7493585,,0.474616104
,1976,,,,,3474542392,0.066024757,246.486774,,36308883249,0.307065362,536.2162268,,13315988083,0.144754412,337.7743775,,0.517844531
,1977,,,,,4494378855,0.293516771,307.0163691,,36035407725,-0.007531918,527.3112654,,14400806876,0.08146739,357.0779478,,0.367452243
,1978,,,,,5303734883,0.180081843,348.806605,,36527862209,0.01366585,662.2640537,,14811704063,0.028532928,358.8477275,,0.222280621
,1979,,,,,6234390975,0.175471835,394.6372562,,47259911894,0.293804483,874.4022258,,18020571429,0.216644037,426.3464634,,0.685920355
,1980,5930503401,,710.9816481,,7265315332,0.165360877,442.5429829,,64201788123,0.358483026,2180.197708,,21669908177,0.202509491,500.3550452,,0.726353394
,1981,5550483036,-0.064078939,642.383858,,6854491454,-0.056545912,401.6960422,,1.64E+11,1.554445987,1843.909186,,22136081081,0.021512454,498.5591159,,1.45533359
,1982,5550483036,0,619.9613575,,6431579357,-0.061698537,362.6218506,,1.43E+11,-0.12804878,1222.62932,,27655172414,0.249325584,607.2815094,,0.059578267
,1983,5784341596,0.04213301,623.4405848,,5979198464,-0.07033745,324.3964841,,97094911791,-0.321014603,902.2158721,,30966239814,0.119726876,662.68726,,-0.229492167
,1984,6131475065,0.060012616,637.7152307,,6191437070,0.035496163,323.3734316,,73484359521,-0.24316982,882.5199059,,33971188992,0.097039524,708.1957624,,-0.050621517
,1985,7553560459,0.231932019,758.2375762,,6135034338,-0.009109797,308.6486251,,73745821156,0.003558058,639.0131009,,39053502251,0.149606576,792.8239454,,0.375986856
,1986,7072063345,-0.063744391,685.2700853,,7239126717,0.179965151,351.0294899,,54805852581,-0.256827686,598.2648417,,41253507951,0.056333122,815.2487916,,-0.084273804
,1987,8083872012,0.143071211,756.261853,,7970820531,0.101074873,372.7798512,,52676041931,-0.038861008,549.2374755,,40455616654,-0.019341175,778.1168274,,0.185943901
,1988,8769250550,0.084783447,792.3031202,,8355380879,0.048246018,377.1555059,,49648470440,-0.057475303,474.2321023,,34980124929,-0.13534565,655.0677687,,-0.059791488
,1989,10201099040,0.1632806,890.5541365,,8283114648,-0.008649065,361.1546293,,44003061108,-0.113707618,567.5286729,,39756299050,0.136539653,725.6297363,,0.17746357
,1990,11228764963,0.100740706,947.7041821,,8572359163,0.034919777,361.3281889,,54035795388,0.228000826,502.9141389,,42978914311,0.081059237,765.6420464,,0.444720546
,1991,10603784541,-0.055658875,865.6927296,,8151479004,-0.049097355,332.4189598,,49118433048,-0.091001942,477.1776142,,37387836491,-0.130088857,651.0775817,,-0.325847029
,1992,8307810974,-0.216523974,656.361756,,8209129172,0.007072357,324.1374038,,47794925815,-0.026945225,270.2239615,,41855986519,0.119508119,713.4525239,,-0.116888723
,1993,5768720422,-0.305626905,441.2006733,,5751789915,-0.299342257,220.0697268,,27752204320,-0.419348313,321.3206772,,46578631453,0.112830812,777.8577091,,-0.911486663
,1994,4438321017,-0.230622964,328.6732947,,7148145376,0.242768857,265.2322565,,33833042988,0.219111916,408.18106,,51897983393,0.114201551,849.4524991,,0.34545936
,1995,5538749260,0.247937956,397.1794508,,9046326060,0.265548696,325.7789408,,44062465800,0.302350067,461.5195779,,60159245060,0.159182711,965.11073,,0.97501943
,1996,7526446606,0.358871155,522.6438073,,12045858436,0.331574648,421.3392708,,51075815093,0.159168334,479.9837556,,67629716981,0.124178286,1063.333095,,0.973792423
,1997,7648377413,0.016200315,514.2952232,,13115773738,0.088820179,445.8772703,,54457835193,0.066215685,469.4305648,,78436578171,0.159794565,1208.719901,,0.331030744
,1998,6506229607,-0.149332041,423.5936602,,14093998844,0.074583866,465.909801,,54604050168,0.002684921,497.8415405,,84828807556,0.081495516,1281.39672,,0.009432262
,1999,6152922943,-0.054302827,387.784316,,12896013577,-0.084999671,414.6793898,,59372613486,0.087329846,567.930736,,90710704807,0.069338441,1343.551963,,0.017365789
,2000,9129594819,0.483781758,556.8363181,,12705357103,-0.01478414,397.4826588,,69448756933,0.16971029,590.381815,,99838543960,0.100625821,1450.476242,,0.739333729
,2001,8936063723,-0.021198213,527.3335285,,12986007426,0.022089133,395.3295318,,74030364472,0.065971052,741.7475112,,97632008710,-0.022101036,1391.707846,,0.044760936
,2002,15285594828,0.710551234,872.4944916,,13147743911,0.012454674,389.542711,,95385819321,0.28846886,795.3862467,,87850683979,-0.100185634,1228.937975,,0.911289134
,2003,17812705294,0.165326276,982.9608993,,14904517650,0.133617885,429.7878437,,1.05E+11,0.100792558,1007.874328,,82924503943,-0.056074464,1138.664673,,0.343662255
,2004,23552052408,0.322205247,1255.564045,,16095337094,0.079896544,451.6687159,,1.36E+11,0.295238095,1268.383443,,78845185293,-0.049193163,1063.003663,,0.648146723
,2005,36970918699,0.569753585,1902.422346,,18737897745,0.164181752,511.6164222,,1.76E+11,0.294117647,1656.424759,,89685725230,0.137491464,1187.51969,,1.165544448
,2006,52381006892,0.41681648,2599.566464,,25825524821,0.378250921,685.9545322,,2.36E+11,0.340909091,1883.461311,,1.07E+11,0.193054968,1398.190624,,1.32903146
,2007,65266452081,0.245994607,3121.995637,,31958195182,0.237465469,825.6665976,,2.76E+11,0.169491525,2242.871886,,1.30E+11,0.214953271,1667.843721,,0.867904872
,2008,88538611205,0.356571537,4080.94141,,35895153328,0.123190879,902.0700258,,3.37E+11,0.221014493,1891.33537,,1.63E+11,0.253846154,2044.527855,,0.954623063
,2009,70307163678,-0.205915219,3122.780766,,37021512049,0.031379131,905.1317861,,2.92E+11,-0.133531157,2292.445156,,1.89E+11,0.159509202,2329.23948,,-0.148558043
,2010,83799496611,0.191905522,3587.883798,,40000088347,0.080455285,951.6879611,,3.63E+11,0.243150685,2520.404166,,2.19E+11,0.158730159,2644.817039,,0.674241651
,2011,1.12E+11,0.336523542,4615.468028,,41953433591,0.048833523,971.633329,,4.10E+11,0.129476584,2746.991789,,2.36E+11,0.077625571,2791.954962,,0.59245922
,2012,1.28E+11,0.142857143,5100.095808,,50412754861,0.20163597,1136.871406,,4.59E+11,0.119512195,2998.072843,,2.79E+11,0.18220339,3232.648892,,0.646208698
,2013,1.37E+11,0.0703125,5254.882338,,55096728048,0.092912462,1210.388014,,5.15E+11,0.122004357,3222.693537,,2.89E+11,0.035842294,3264.378787,,0.321071613
,2014,1.46E+11,0.065693431,5408.410496,,61448046802,0.115275788,1315.804535,,5.68E+11,0.102912621,2730.430324,,3.06E+11,0.058823529,3378.831358,,0.342705369
,2015,1.16E+11,-0.205479452,4166.979684,,64007750179,0.041656383,1336.883349,,4.95E+11,-0.128521127,2175.99967,,3.33E+11,0.088235294,3598.970948,,-0.204108902
,2016,1.01E+11,-0.129310345,3506.072885,,69188755511,0.080943406,1410.527571,,4.05E+11,-0.181818182,1968.559588,,3.33E+11,0,3525.020165,,-0.230185121
,2017,1.22E+11,0.207920792,4095.812942,,78757391333,0.138297556,1568.201541,,3.76E+11,-0.071604938,2028.18197,,2.35E+11,-0.294294294,2440.510173,,-0.019680884
,2018,1.06E+11,-0.131147541,3432.385736,,87908262520,0.116190633,1710.510097,,3.97E+11,0.055851064,39286.73765,,2.51E+11,0.068085106,2549.139458,,0.108979262
