Country,Year,,Trade Value,Relative Change
Angola,1992,Import,29409207,110.5344253
Angola,1992,Export,8472850,116.3840394
Kenya,1992,Import,2239258,-171.4942655
Kenya,1992,Export,29182602,132.1433861
Nigeria,1992,Import,5961981,-175.4028376
Nigeria,1992,Export,90991983,195.2699567
South Africa,1992,Import,1088866,-197.5203535
South Africa,1992,Export,174559719,-3.462572053
Egypt,1993,Import,180710462,176.6421441
Egypt,1993,Export,11206948,97.76884228
Angola,1993,Import,3847613,-169.8959188
Angola,1993,Export,47276525,195.5667414
Kenya,1993,Import,529845,-198.252628
Kenya,1993,Export,120759724,133.1448671
Nigeria,1993,Import,24233924,-156.6922222
Nigeria,1993,Export,199595838,122.4746868
South Africa,1994,Import,47984324,117.4283923
South Africa,1994,Export,12482005,91.04957057
Egypt,1994,Import,4672468,-172.9788446
Egypt,1994,Export,64495085,193.5066035
Angola,1994,Import,1064257,-195.3371256
Angola,1994,Export,90231961,142.3800031
Kenya,1994,Import,15185365,-179.3948946
Kenya,1994,Export,279603033,68.51965918
Nigeria,1995,Import,136907302,146.454644
Nigeria,1995,Export,21159336,175.4097646
South Africa,1995,Import,1385987,-194.7439976
South Africa,1995,Export,104092427,54.18825023
Egypt,1995,Import,59711253,-87.57226957
Egypt,1995,Export,152731897,168.4843739
Angola,1995,Import,13062810,-188.4580759
Angola,1995,Export,439645416,57.32960473
Kenya,1996,Import,243751143,158.0825665
Kenya,1996,Export,28533705,188.1418144
Nigeria,1996,Import,871738,-196.2542952
Nigeria,1996,Export,92220276,172.4531946
South Africa,1996,Import,6820653,-184.6441886
South Africa,1996,Export,170848968,192.1565283
Egypt,1996,Import,3417128,-196.6487242
Egypt,1996,Export,404442832,-39.49709622
Angola,1997,Import,603496146,181.5824371
Angola,1997,Export,29128511,184.4092504
Kenya,1997,Import,1181385,-196.4644293
Kenya,1997,Export,132475680,170.2824449
Nigeria,1997,Import,10632028,-186.9961244
Nigeria,1997,Export,316409796,139.2162528
South Africa,1997,Import,56697086,-156.5242203
South Africa,1997,Export,464945874,100.6227718
Egypt,1998,Import,153697712,122.9779133
Egypt,1998,Export,36653028,184.3514156
Angola,1998,Import,1492301,-195.011109
Angola,1998,Export,118157616,124.6512806
Kenya,1998,Import,27423348,-171.5053219
Kenya,1998,Export,357537632,167.43016
Nigeria,1998,Import,31692944,-179.0955384
Nigeria,1998,Export,574741120,47.09625599
South Africa,1999,Import,355651156,182.4053294
South Africa,1999,Export,16363697,107.6109989
Egypt,1999,Import,4914732,-181.3976536
Egypt,1999,Export,100765098,-57.70100102
Angola,1999,Import,182483832,-73.91695467
Angola,1999,Export,396448352,168.0991799
Kenya,1999,Import,34357663,-181.6811169
Kenya,1999,Export,715855388,-88.08413386
Nigeria,2000,Import,1842692967,192.8085702
Nigeria,2000,Export,33735509,159.0287586
South Africa,2000,Import,3849791,-188.7542374
South Africa,2000,Export,133083244,-79.11951577
Egypt,2000,Import,307296342,-56.41621723
Egypt,2000,Export,548779006,-61.6002114
Angola,2000,Import,1037289908,2.305715771
Angola,2000,Export,1013645537,163.4076342
Kenya,2000,Import,102066343,-155.0055135
Kenya,2000,Export,805301211,10.93202988
Nigeria,2001,Import,721828095,176.1725812
Nigeria,2001,Export,45721834,154.4366408
South Africa,2001,Import,5877610,-183.7505513
South Africa,2001,Export,138806929,-48.28368156
Egypt,2001,Import,227157472,-120.5979515
Egypt,2001,Export,917183140,-24.49484955
Angola,2001,Import,1173201416,11.2187195
Angola,2001,Export,1048574038,171.5408372
Kenya,2001,Import,80318329,-166.3068183
Kenya,2001,Export,873207874,-21.81769486
Nigeria,2002,Import,1087049343,178.6440183
Nigeria,2002,Export,61310901,165.4423351
South Africa,2002,Import,5797800,-187.5556534
South Africa,2002,Export,180561523,39.25749152
Egypt,2002,Import,121308269,-158.4722425
Egypt,2002,Export,1047146531,-19.138826
Angola,2002,Import,1268765741,-3.246398032
Angola,2002,Export,1310634541,173.8024646
Kenya,2002,Import,91854383,-161.110692
Kenya,2002,Export,852923375,-88.46513256
Nigeria,2003,Import,2205934880,175.2026879
Nigeria,2003,Export,145791215,177.3872354
South Africa,2003,Import,8735702,-186.0478794
South Africa,2003,Export,241712306,108.5317153
Egypt,2003,Import,71658792,-184.5698586
Egypt,2003,Export,1785972713,-2.979648068
Angola,2003,Import,1839993225,-9.788215634
Angola,2003,Export,2029363726,171.9875241
Kenya,2003,Import,152820992,-143.897253
Kenya,2003,Export,936758397,-133.7288832
Nigeria,2004,Import,4717339146,184.2375453
Nigeria,2004,Export,193517905,167.7524632
South Africa,2004,Import,16969229,-181.4423841
South Africa,2004,Export,348793896,-28.18251314
Egypt,2004,Import,463216342,-115.0753423
Egypt,2004,Export,1718559149,-53.07575487
Angola,2004,Import,2960203427,0.28076256
Angola,2004,Export,2951903935,176.0579204
Kenya,2004,Import,187935728,-152.3117847
Kenya,2004,Export,1388434677,-130.3192575
Nigeria,2005,Import,6581828714,178.5584947
Nigeria,2005,Export,372793946,181.9159316
South Africa,2005,Import,17652134,-185.1214862
South Africa,2005,Export,456914996,-14.22335244
Egypt,2005,Import,526879258,-125.5305142
Egypt,2005,Export,2303161810,-39.67447624
Angola,2005,Import,3443051908,-10.53548703
Angola,2005,Export,3825965079,179.0804454
Kenya,2005,Import,211135885,-160.6304942
Kenya,2005,Export,1934035925,-139.8776352
Nigeria,2006,Import,10933295107,169.75905
Nigeria,2006,Export,894185633,189.3683604
South Africa,2006,Import,24415593,-184.8692394
South Africa,2006,Export,621040206,76.390233
Egypt,2006,Import,277747279,-164.5039971
Egypt,2006,Export,2852151939,-35.55183686
Angola,2006,Import,4085358057,-34.14877861
Angola,2006,Export,5767709102,185.511263
Kenya,2006,Import,216768816,-172.8382866
Kenya,2006,Export,2975501314,-124.9755372
Nigeria,2007,Import,12888664603,165.0356827
Nigeria,2007,Export,1234518651,191.0942773
South Africa,2007,Import,28111587,-188.4819313
South Africa,2007,Export,948148851,55.35422247
Egypt,2007,Import,537080321,-150.4600384
Egypt,2007,Export,3799461765,-54.11312385
Angola,2007,Import,6618094263,-11.75860762
Angola,2007,Export,7444900447,187.5211154
Kenya,2007,Import,239739333,-179.6306241
Kenya,2007,Export,4468099230,-133.4376827
Nigeria,2008,Import,22382523829,153.5246515
Nigeria,2008,Export,2942469756,195.3348375
South Africa,2008,Import,34722717,-189.1834204
South Africa,2008,Export,1249332629,84.30857493
Egypt,2008,Import,508380981,-172.0494463
Egypt,2008,Export,6767052438,-30.84510186
Angola,2008,Import,9234972954,6.916096439
Angola,2008,Export,8617621625,181.034158
Kenya,2008,Import,428939103,-172.7795948
Kenya,2008,Export,5874260276,-85.65967358
Nigeria,2009,Import,14675830702,144.0630811
Nigeria,2009,Export,2385960008,195.0883301
South Africa,2009,Import,29661843,-190.9228621
South Africa,2009,Export,1277439292,35.04319868
Egypt,2009,Import,896525833,-143.7219733
Egypt,2009,Export,5475594058,-45.41878326
Angola,2009,Import,8693253033,16.53499775
Angola,2009,Export,7365588491,162.9203937
Kenya,2009,Import,752542778,-148.6310353
Kenya,2009,Export,5107359456,-126.8349737
Nigeria,2010,Import,22815049454,167.7041159
Nigeria,2010,Export,2003872576,192.3237999
Egypt,2010,Import,39207733,-191.4089305
Egypt,2010,Export,1786303416,50.01396578
Angola,2010,Import,1071622397,-144.8219299
Angola,2010,Export,6696843552,-75.94570252
Kenya,2010,Import,14896422261,31.88445591
Kenya,2010,Export,10799862041,168.6654219
Nigeria,2010,Import,917930190,-147.237162
Nigeria,2010,Export,6040984268,-121.9590851
Egypt,2011,Import,24922180492,159.8048103
Egypt,2011,Export,2784153366,191.6041831
Angola,2011,Import,59690991,-190.1681162
Angola,2011,Export,2368775109,39.72695499
Kenya,2011,Import,1583680065,-141.286765
Kenya,2011,Export,9205574275,-110.8435464
Nigeria,2011,Import,32095190401,82.41937759
Nigeria,2011,Export,13362300051,159.1861599
Egypt,2011,Import,1518340176,-130.9968707
Egypt,2011,Export,7283232684,-128.6746522
Angola,2012,Import,33561896917,157.0313136
Angola,2012,Export,4039171270,194.8765074
Kenya,2012,Import,52407939,-192.6216389
Kenya,2012,Export,2788761718,74.58207012
Nigeria,2012,Import,1273793010,-151.7963953
Nigeria,2012,Export,9296312849,-131.0746675
Egypt,2012,Import,44653737210,97.80549832
Egypt,2012,Export,15323311517,168.2592431
Angola,2012,Import,1320736724,-144.6502238
Angola,2012,Export,8223921373,-118.1629962
Kenya,2013,Import,31972669347,155.8773531
Kenya,2013,Export,3964058933,194.7438418
Nigeria,2013,Import,52782890,-193.5438981
Nigeria,2013,Export,3217480883,70.14477856
South Africa,2013,Import,1546602880,-154.4755809
South Africa,2013,Export,12042612840,-120.2885591
Egypt,2013,Import,48388425446,96.77410532
Egypt,2013,Export,16830776066,160.35609
Angola,2013,Import,1851606760,-127.4894953
Angola,2013,Export,8362674701,-115.2475063
Kenya,2014,Import,31106015046,135.5465612
Kenya,2014,Export,5974996819,194.9082217
Nigeria,2014,Import,77039062,-193.8463103
Nigeria,2014,Export,4930627241,59.96277579
South Africa,2014,Import,2656039313,-141.1386549
South Africa,2014,Export,15393424622,-97.31137076
Egypt,2014,Import,44568129974,95.80318383
Egypt,2014,Export,15699145579,172.4885257
Angola,2014,Import,1159516629,-160.0855762
Angola,2014,Export,10460509601,-41.87949851
Kenya,2015,Import,16001611383,124.5967516
Kenya,2015,Export,3717145883,189.6492769
Nigeria,2015,Import,98743024,-193.4314281
Nigeria,2015,Export,5914315875,130.638832
Egypt,2015,Import,1240700780,-166.786088
Egypt,2015,Export,13701240179,-75.02474781
Angola,2015,Import,30151410452,62.13299673
Angola,2015,Export,15857921952,178.1150005
Kenya,2015,Import,917844080,-171.4876027
Kenya,2015,Export,11958576936,-15.48747416
Nigeria,2016,Import,13966117080,157.0409501
Nigeria,2016,Export,1680398624,178.1415177
Egypt,2016,Import,97135495,-193.1652268
Egypt,2016,Export,5587646821,144.1381846
Angola,2016,Import,907008025,-165.8407002
Angola,2016,Export,9713912553,-78.35868243
Kenya,2016,Import,22228893549,53.47670125
Kenya,2016,Export,12849507644,183.4895476
Nigeria,2016,Import,553212429,-179.8639055
Nigeria,2016,Export,10436255851,-65.92237063
Egypt,2017,Import,20698709467,160.6649725
Egypt,2017,Export,2257453225,172.4750128
Angola,2017,Import,166820240,-187.1713015
Angola,2017,Export,5034650207,102.4404374
Kenya,2017,Import,1624049602,-152.8482331
Kenya,2017,Export,12153161394,-66.9668654
Nigeria,2017,Import,24388596208,48.87996991
Nigeria,2017,Export,14808766628,166.7646834
Egypt,2017,Import,1341934131,-150.4253224
Egypt,2017,Export,9485643131,200
